Name,Symbol,Industry Group,Industry
Reliance Industries,RELIANCE,Petroleum Products,Refineries & Marketing
Life Insurance,LICI,Insurance,Life Insurance
Rajesh Exports,RAJESHEXPO,Consumer Durables,"Gems, Jewellery And Watches"
I O C L,IOC,Petroleum Products,Refineries & Marketing
O N G C,ONGC,Oil,Oil Exploration & Production
SBI,SBIN,Banks,Public Sector Bank
B P C L,BPCL,Petroleum Products,Refineries & Marketing
H P C L,HINDPETRO,Petroleum Products,Refineries & Marketing
Tata Motors PVeh,TMPV,Automobiles,Passenger Cars & Utility Vehicles
HDFC Bank,HDFCBANK,Banks,Private Sector Bank
Larsen & Toubro,LT,Construction,Civil Construction
TCS,TCS,IT - Software,Computers - Software & Consulting
Hindalco Inds.,HINDALCO,Non - Ferrous Metals,Aluminium
Tata Steel,TATASTEEL,Ferrous Metals,Iron & Steel
Bharti Airtel,BHARTIARTL,Telecom - Services,Telecom - Cellular & Fixed line services
M & M,M&M,Automobiles,Passenger Cars & Utility Vehicles
Maruti Suzuki,MARUTI,Automobiles,Passenger Cars & Utility Vehicles
JSW Steel,JSWSTEEL,Ferrous Metals,Iron & Steel
Grasim Inds,GRASIM,Cement & Cement Products,Cement & Cement Products
ICICI Bank,ICICIBANK,Banks,Private Sector Bank
Coal India,COALINDIA,Consumable Fuels,Coal
Infosys,INFY,IT - Software,Computers - Software & Consulting
NTPC,NTPC,Power,Power Generation
Bajaj Finserv,BAJAJFINSV,Finance,Holding Company
GAIL (India),GAIL,Gas,Gas Transmission/Marketing
Bank of Baroda,BANKBARODA,Banks,Public Sector Bank
Samvardh. Mothe.,MOTHERSON,Auto Components,Auto Components & Equipments
Axis Bank,AXISBANK,Banks,Private Sector Bank
HCL Technologies,HCLTECH,IT - Software,Computers - Software & Consulting
Redington,REDINGTON,Commercial Services & Supplies,Trading & Distributors
Punjab Natl.Bank,PNB,Banks,Public Sector Bank
Adani Enterp.,ADANIENT,Metals & Minerals Trading,Trading - Minerals
Canara Bank,CANBK,Banks,Public Sector Bank
S A I L,SAIL,Ferrous Metals,Iron & Steel
Power Fin.Corpn.,PFC,Finance,Financial Institution
Titan Company,TITAN,Consumer Durables,"Gems, Jewellery And Watches"
Union Bank (I),UNIONBANK,Banks,Public Sector Bank
Tata Motors,TMCV,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
UltraTech Cem.,ULTRACEMCO,Cement & Cement Products,Cement & Cement Products
Vedanta,VEDL,Diversified Metals,Diversified Metals
Wipro,WIPRO,IT - Software,Computers - Software & Consulting
M R P L,MRPL,Petroleum Products,Refineries & Marketing
Interglobe Aviat,INDIGO,Transport Services,Airline
Bajaj Finance,BAJFINANCE,Finance,Non Banking Financial Company (NBFC)
AWL Agri Busine.,AWL,Agricultural Food & other Products,Edible Oil
HDFC Life Insur.,HDFCLIFE,Insurance,Life Insurance
Bank of India,BANKINDIA,Banks,Public Sector Bank
Hyundai Motor I,HYUNDAI,Automobiles,Passenger Cars & Utility Vehicles
UPL,UPL,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Bajaj Auto,BAJAJ-AUTO,Automobiles,2/3 Wheelers
Kotak Mah. Bank,KOTAKBANK,Banks,Private Sector Bank
