date,new_highs,new_lows,net,total
2026-07-07,79,29,50,2339
2026-07-08,49,45,4,2339
2026-07-09,100,33,67,2339
2026-07-10,2,1,1,4
2026-07-13,1,1,0,4
2026-07-14,1,1,0,4
2026-07-17,0,0,0,4
2026-07-20,0,0,0,4
2026-07-21,0,0,0,4
2026-07-22,0,0,0,4
2026-07-23,0,0,0,4
2026-07-24,0,0,0,4
2026-07-27,0,0,0,4
2026-07-28,0,0,0,4
2026-07-29,0,0,0,4
2026-07-30,0,0,0,4
2026-07-31,0,0,0,4
2026-08-03,0,0,0,4
2026-08-04,1,0,1,4
2026-08-05,1,0,1,4
2026-08-06,1,0,1,4
2026-08-07,1,0,1,4
2026-08-10,0,0,0,4
2026-08-11,2,0,2,4
2026-08-12,1,0,1,4
2026-08-13,0,0,0,4
2026-08-14,0,0,0,4
