symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
ONGC.NS,290.0,292.82083384195965,289.79583146837024,284.0449993896484,258.45118133544923,250.2985412597656,294.20279629861244,219.43324653939325,307.5,True,True,True,True,True,True,True,False,False,22.64148873576426,noise,58.958009377758636,False,Oil,Oil Exploration & Production,80.8300395256917,True,True,364828.1,626.82,21614476,0.1718
HINDALCO.NS,1109.199951171875,1067.0250040690105,1030.3958350287544,995.332001953125,914.807002360026,868.1089389038086,1075.8891571782306,613.5008869488823,1115.0,True,True,True,True,True,True,True,True,False,68.59060925678455,noise,69.55720128140933,False,Non - Ferrous Metals,Aluminium,93.62648221343873,True,True,248034.1,677.02,6103675,0.273
TATASTEEL.NS,209.19000244140625,213.08583323160806,209.93333435058594,204.98140045166016,190.5842002360026,184.21040000915528,211.2737532247366,149.8000030517578,224.39999389648438,True,True,True,True,True,True,True,False,False,34.897243435266475,noise,71.05983162324053,False,Ferrous Metals,Iron & Steel,86.6106719367589,True,True,260898.58,666.49,31860460,0.2555
JSWSTEEL.NS,1285.5,1279.558349609375,1247.616672092014,1220.8980053710939,1192.0326708984376,1167.4130029296875,1280.6627238430583,959.5660768846707,1314.0,True,True,True,True,True,True,True,True,False,27.27971211632536,noise,28.379103291221806,False,Ferrous Metals,Iron & Steel,83.49802371541502,True,True,313743.42,255.49,1987490,0.0814
COALINDIA.NS,456.54998779296875,460.2958348592122,456.8180567423503,456.19000122070315,417.9578092447917,405.5844171142578,460.1014010985979,345.88277906519255,491.25,True,True,True,True,True,True,True,False,False,19.73724481792214,noise,73.88025049015855,False,Consumable Fuels,Coal,79.29841897233202,True,True,281359.35,568.29,12447389,0.202
MOTHERSON.NS,136.17999267578125,130.4133326212565,123.97249984741211,121.062216796875,117.82711074829102,113.3483169555664,131.34525732754722,89.42248454216111,139.00999450683594,True,True,True,True,True,True,True,True,False,40.74043060173145,red,146.06513172748942,False,Auto Components,Auto Components & Equipments,88.2905138339921,True,True,143414.3,303.28,22270409,0.2115
SAIL.NS,201.2100067138672,192.52666600545248,179.9794447157118,171.71200012207032,153.07159998575847,146.66750038146972,194.81053935258336,116.63813628480024,209.6999969482422,True,True,True,True,True,True,True,True,False,66.28455411013799,noise,94.26041012104825,False,Ferrous Metals,Iron & Steel,93.18181818181817,True,True,83110.3,558.4,27752186,0.6719
BAJAJ-AUTO.NS,10549.5,10456.833333333334,9905.958333333334,9667.35,9423.286666666667,9254.8625,10408.802466758609,7858.5,10785.0,True,True,True,True,True,True,True,True,False,26.29148256664251,noise,51.70687812330147,False,Automobiles,2/3 Wheelers,82.90513833992095,True,True,294617.71,402.91,381927,0.1368
CHENNPETRO.NS,1016.5999755859375,1024.2250061035156,1030.7027757432725,1015.6410632324219,930.8260042317709,874.188440246582,1019.4169174470505,593.9771332331783,1159.699951171875,True,True,True,True,True,True,True,False,False,52.92055674701037,dry,13.373956150711761,False,Petroleum Products,Refineries & Marketing,91.15612648221344,True,True,15138.33,269.5,2650985,1.7802
JINDALSTEL.NS,1209.9000244140625,1230.7083536783855,1230.1805589463975,1208.7480004882811,1123.6240002441407,1096.6608837890626,1224.6806584569092,880.9024479280388,1306.199951171875,True,True,True,True,True,True,True,False,False,26.59777222940871,noise,56.57634554957561,False,Ferrous Metals,Iron & Steel,83.15217391304348,True,True,123105.89,171.21,1415104,0.1391
ADANIPOWER.NS,219.32000732421875,220.34583536783853,205.52972284952799,189.8956005859375,161.304533589681,153.58885009765626,219.7501922782512,105.41999816894531,234.39999389648438,True,True,True,True,True,True,True,False,False,97.15930558791435,noise,34.96502811205715,False,Power,Integrated Power Utilities,96.04743083003953,True,True,422951.94,939.11,42819169,0.222
HINDZINC.NS,632.25,639.7208251953125,596.1198170979818,575.8362036132812,562.1376487223307,531.5513827514649,633.5528607400269,406.0805394823193,719.8477125036038,True,True,True,True,True,True,True,False,False,50.83903505562661,noise,58.93965306725235,False,Non - Ferrous Metals,Zinc,90.61264822134387,True,True,267145.79,414.7,6559071,0.1552
BHEL.NS,408.54998779296875,403.40833282470703,345.3177786933051,320.5888006591797,285.62880045572916,271.23605018615723,400.4085770239703,205.1199951171875,417.8999938964844,True,True,True,True,True,True,True,True,False,67.49518653739351,noise,43.90412374261645,False,Electrical Equipment,Heavy Electrical Equipment,93.37944664031622,True,True,142259.69,680.78,16663310,0.4785
ADANIPORTS.NS,1786.9000244140625,1763.1916809082031,1627.0139024522568,1553.9780102539062,1504.1433374023438,1471.3045025634765,1765.0083641171605,1290.5,1823.9000244140625,True,True,True,True,True,True,True,True,False,29.683206342889612,noise,44.7500432545874,False,Transport Infrastructure,Port & Port services,84.48616600790514,True,True,411694.46,577.79,3233481,0.1403
OIL.NS,499.75,492.69583384195965,480.49444495307074,478.5040002441406,447.68061604817706,435.697520904541,498.2286924213418,374.3675923313683,531.0,True,True,True,True,True,True,True,True,False,21.28737661053357,noise,33.27953476549464,False,Oil,Oil Exploration & Production,79.9901185770751,True,True,81289.72,316.33,6329796,0.3891
POLYCAB.NS,9263.5,9116.666666666666,8272.555555555555,7970.94,7709.496666666667,7587.7825,9078.554947394874,5727.946687671006,9316.5,True,True,True,True,True,True,True,True,False,54.90709076440376,noise,34.67783603909155,False,Industrial Products,Cables - Electricals,91.35375494071147,True,True,139462.46,487.64,526406,0.3497
AUROPHARMA.NS,1463.5,1500.1666666666667,1422.0277777777778,1385.0460009765625,1247.2693310546874,1204.755223083496,1495.7530889974273,1016.0999755859375,1550.0,True,True,True,True,True,True,True,False,False,21.817202136725356,red,199.82321398071986,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,80.23715415019763,True,True,84206.55,221.7,1514867,0.2633
FEDERALBNK.NS,287.20001220703125,287.04583231608075,286.94444529215497,281.1030004882812,268.3766678873698,250.24610549926757,286.38768697689267,183.99616636888095,302.0,True,True,True,True,True,True,True,True,False,45.810751264750785,noise,77.32304910478544,False,Banks,Private Sector Bank,89.67391304347827,True,True,70768.21,246.54,8584346,0.3484
MAHABANK.NS,80.04000091552734,80.01500002543132,76.30138884650336,72.98859985351562,65.32528561909993,62.53872276306152,79.38217492431319,49.36936040991265,85.9000015258789,True,True,True,True,True,True,True,True,False,58.11825315778609,noise,59.1856087872013,False,Banks,Public Sector Bank,91.89723320158103,True,True,61563.21,196.3,24524918,0.3189
NMDC.NS,87.8499984741211,89.31083424886067,87.69194497002496,85.05880004882812,79.53917755126953,77.49154502868652,89.06978247009084,63.93605553096449,94.25,True,True,True,True,True,True,True,False,False,32.484339598414415,noise,65.4288016883984,False,Minerals & Mining,Industrial Minerals,85.86956521739131,True,True,77236.12,209.93,23896136,0.2718
ADANIENSOL.NS,1367.9000244140625,1335.0249938964844,1263.4097256130642,1187.5210021972657,1047.6589998372397,992.7847509765625,1341.6240686728702,744.9000244140625,1463.6500244140625,True,True,True,True,True,True,True,True,False,49.48910361862675,green,102.5893252244203,False,Power,Power Distribution,90.31620553359684,True,True,164323.46,397.83,2908342,0.2421
NESTLEIND.NS,1423.0999755859375,1448.3916625976562,1374.000003390842,1325.7800024414062,1289.8639827473958,1257.8711834716796,1433.686914618665,1078.874971449518,1498.0999755859375,True,True,True,True,True,True,True,False,False,21.840089177731326,noise,66.47359984957006,False,Food Products,Packaged Foods,80.33596837944664,True,True,274418.41,258.22,1814477,0.0941
GOKULAGRO.NS,221.38999938964844,235.37583287556967,221.3419443766276,208.60140014648437,187.70979949951172,184.8349747467041,231.66626126343584,119.20999908447266,249.9199981689453,True,True,True,True,True,True,True,False,False,75.40009289219935,dry,13.609025658708585,False,Agricultural Food & other Products,Edible Oil,94.26877470355731,True,True,6532.92,56.86,2568483,0.8704
APARINDS.NS,12782.0,12626.333333333334,11844.291666666666,11233.55,9659.806666666667,9353.3275,12595.833293829204,6801.0,13149.0,True,True,True,True,True,True,True,True,False,72.88794492373228,noise,58.12131760353127,False,Electrical Equipment,Other Electrical Equipment,94.02173913043478,True,True,51343.14,158.91,124322,0.3095
NLCINDIA.NS,344.6499938964844,341.7000020345052,311.2125015258789,296.95400146484377,267.08074432373047,262.0509825897217,344.19572969537535,216.33624791780156,387.79998779296875,True,True,True,True,True,True,True,True,False,46.16642381074749,noise,47.02331280170702,False,Power,Power Generation,89.77272727272727,True,True,47790.43,200.25,5810142,0.419
AUBANK.NS,977.9000244140625,996.2750091552734,991.106947157118,964.1350024414063,956.3680004882813,900.6395010375977,985.6052504383211,679.861584541776,1079.550048828125,True,True,True,True,True,True,True,False,False,42.41541828064859,noise,66.41954122195523,False,Banks,Other Bank,88.68577075098814,True,True,73182.01,283.23,2896289,0.387
NATIONALUM.NS,409.25,403.0250015258789,412.6207529703776,402.80731689453125,335.2808218383789,300.10867378234866,405.26031018435003,168.71956225754178,442.9435720664075,True,True,True,True,True,True,True,True,False,138.86429992126205,noise,37.88801641437123,False,Non - Ferrous Metals,Aluminium,97.77667984189723,True,True,75164.16,517.02,12633409,0.6879
LLOYDSME.NS,1737.300048828125,1718.4333394368489,1649.6583387586807,1529.5540063476562,1346.2580029296876,1345.1535021972657,1713.6514659009492,1042.9000244140625,1846.0,True,True,True,True,True,True,True,True,False,31.135783394656748,noise,56.12913098312846,False,Minerals & Mining,Industrial Minerals,85.12845849802372,True,True,97732.9,122.56,705455,0.1254
BHARATFORG.NS,1897.699951171875,1926.9583333333333,1858.1555616590713,1823.0500024414061,1594.0434749348958,1491.677996826172,1902.9650808964461,1099.2431646909151,2044.0,True,True,True,True,True,True,True,False,False,51.8084649706831,noise,47.55022675288833,False,Auto Components,Auto Components & Equipments,90.8596837944664,True,True,90726.88,268.0,1412224,0.2954
RPTECH.NS,545.5,528.3999989827474,470.0833333333333,435.8020001220703,377.6533331298828,358.4795782470703,529.5638968041001,274.03069500955513,560.0,True,True,True,True,True,True,True,True,False,79.90185530471092,noise,55.59004191404537,False,IT - Hardware,Computers Hardware & Equipments,94.61462450592886,True,True,3594.83,11.08,203090,0.3082
WELCORP.NS,1277.5,1314.3416646321614,1166.518051147461,1067.0449963378906,903.8023327636719,896.1709997558594,1301.6553351456819,710.0,1377.4000244140625,True,True,True,True,True,True,True,False,False,65.63172687782024,red,281.89695870761227,False,Industrial Products,Iron & Steel Products,93.03359683794467,True,True,33688.18,106.61,834495,0.3165
GLENMARK.NS,2259.10009765625,2338.6166788736978,2289.286126030816,2255.6100048828125,2060.587335611979,2047.1635571289062,2341.6102679854284,1366.6478144531218,2474.0,True,True,True,True,True,True,True,False,False,57.68287169615769,red,220.78450331911773,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,91.699604743083,True,True,63751.99,151.9,672381,0.2383
SIEMENS.NS,3811.699951171875,3666.8916625976562,3604.0416734483506,3473.056005859375,3251.736004231771,3227.8235021972655,3686.717418420001,2826.0,3930.0,True,True,True,True,True,True,True,True,False,22.78379303820135,green,113.37313529338817,False,Electrical Equipment,Heavy Electrical Equipment,80.97826086956522,True,True,135742.45,179.37,470577,0.1321
RBLBANK.NS,334.3500061035156,332.8208363850911,324.8180567423503,317.0760009765625,313.0393336995443,301.62106483459473,330.8237424728551,203.16122381938294,349.8999938964844,True,True,True,True,True,True,True,True,False,61.15152940141648,noise,71.7291242391491,False,Banks,Private Sector Bank,92.53952569169961,True,True,20686.24,181.04,5414700,0.8752
ADANIGREEN.NS,1362.300048828125,1367.2999979654949,1212.6305558946397,1111.665001220703,1032.8823323567708,1021.8337493896485,1357.4073429499638,765.0,1471.0,True,True,True,True,True,True,True,True,False,38.45216036660668,noise,34.45620949377995,False,Power,Power Generation,87.59881422924902,True,True,224394.82,607.81,4461648,0.2709
KEI.NS,5260.5,5108.033365885417,4826.8528238932295,4655.374033203125,4416.744228515625,4314.950817871094,5127.79054866182,3407.3654496440404,5325.0,True,True,True,True,True,True,True,True,False,52.16481504746824,noise,85.54501861494651,False,Industrial Products,Cables - Electricals,91.00790513833992,True,True,50290.69,257.3,489112,0.5116
TORNTPHARM.NS,4486.2001953125,4415.525065104167,4240.772250705295,4259.180024414062,3998.675271809896,3891.8603649902343,4417.527363809201,3075.032643329192,4555.10009765625,True,True,True,True,True,True,True,True,False,39.612615608597615,noise,59.44486564342641,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,88.19169960474308,True,True,151833.4,160.21,357112,0.1055
J&KBANK.NS,140.02999877929688,135.04166666666666,129.65861129760742,126.65600036621093,112.303466796875,109.83894638061524,135.16069914022037,97.3499984741211,145.0,True,True,True,True,True,True,True,True,False,40.88756498025931,noise,49.936758495817664,False,Banks,Private Sector Bank,88.3893280632411,True,True,15419.86,102.14,7294291,0.6624
ABB.NS,6689.5,6555.541666666667,6820.737711588542,6646.7418359375,5739.8267220052085,5593.065288085938,6598.9105343731035,4618.610322519749,7790.636939142663,True,True,True,True,True,True,True,True,False,17.27289193609853,noise,78.82932405479342,False,Electrical Equipment,Heavy Electrical Equipment,77.76679841897233,True,True,141756.11,310.96,464848,0.2194
CUMMINSIND.NS,5353.0,5322.375,5155.569417317708,5007.7,4563.105065104167,4389.825888671875,5328.88076536857,2875.2792251600035,5470.5,True,True,True,True,True,True,True,True,False,84.02096335625873,noise,33.708687769472526,False,Industrial Products,"Compressors, Pumps & Diesel Engines",95.20750988142292,True,True,148385.16,375.44,701363,0.253
