symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
RELIANCE.NS,1356.300048828125,1354.5750020345051,1369.0916714138455,1374.092001953125,1444.7880037434895,1429.5596771240234,1360.2489015346453,1290.0,1611.800048828125,False,True,False,False,False,False,True,False,False,-3.3832190886232127,noise,71.98249709732887,False,Petroleum Products,Refineries & Marketing,56.30252100840336,False,False
LICI.NS,854.9000244140625,805.9291687011719,806.584728664822,794.8420043945313,841.2333365885416,853.3247518920898,816.7699460494267,721.5,967.1755548172945,True,False,False,False,True,False,True,True,False,2.428248870828509,green,198.53214926327084,False,Insurance,Life Insurance,62.9757785467128,False,False
RAJESHEXPO.NS,118.44999694824219,110.57416661580403,115.54416635301378,109.73219970703126,153.83126592000326,161.84684955596924,112.11016787197913,80.37999725341797,237.8800048828125,False,False,False,False,True,True,False,True,False,-39.501506200505276,noise,48.66027877017395,False,Consumer Durables,"Gems, Jewellery And Watches",9.935739001482947,False,False
IOC.NS,142.3800048828125,138.80249786376953,142.04138861762152,142.43539978027343,155.3974454752604,151.1770121002197,140.25836696356748,127.92889076038279,186.60727196585654,False,True,False,False,False,False,True,True,False,5.944605066075903,noise,51.00846135102508,False,Petroleum Products,Refineries & Marketing,67.02916460701928,False,False
ONGC.NS,287.5,293.6000010172526,289.71805402967664,284.69499938964844,259.1369669596354,250.89450332641601,291.60765884226583,219.43323145150126,307.5,True,True,True,True,True,True,True,False,False,25.402765601667852,noise,54.64398033437172,False,Oil,Oil Exploration & Production,81.5126050420168,True,True
SBIN.NS,968.5,955.8065694173177,1022.4595608181423,1022.9752160644531,1012.8468326822916,964.8503561401367,966.3028978768964,766.4840678018166,1212.8384373028666,False,True,True,True,False,False,True,True,False,25.55966494009214,noise,91.19207894466872,False,Banks,Public Sector Bank,81.56203657933762,True,False
BPCL.NS,304.6000061035156,293.7250035603841,300.4250030517578,298.0930017089844,336.16339294433595,329.2667153930664,297.81208708053936,266.6000061035156,391.6499938964844,False,True,False,False,True,False,True,True,False,3.664993189837662,noise,64.72195989615777,False,Petroleum Products,Refineries & Marketing,64.65645081562037,False,False
HINDPETRO.NS,398.0,381.18332926432294,374.76666344536676,365.85899658203124,424.8310487874349,419.9432501220703,386.8663288068016,316.20001220703125,508.45001220703125,False,True,False,False,True,False,True,True,False,2.850512053701304,noise,44.048348124082025,False,Petroleum Products,Refineries & Marketing,63.51952545724172,False,False
TMPV.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,ppv,196.54066526901966,False,Automobiles,Passenger Cars & Utility Vehicles,,False,False
HDFCBANK.NS,778.9000244140625,765.2541707356771,781.8416680230034,783.5190014648438,901.2533325195312,919.1369995117187,771.2215656563795,726.6500244140625,1020.5,False,False,False,False,False,False,True,True,False,-17.76359473707545,noise,68.1224659382709,False,Banks,Private Sector Bank,35.24468610973801,False,False
LT.NS,4037.800048828125,3908.0690714518228,3947.746141221788,3821.7156787109375,3928.823681640625,3849.6916162109374,3946.50458704319,3256.294765660181,4397.052414797838,True,True,True,False,True,False,True,True,False,15.877245499542303,noise,43.43689873968424,False,Construction,Civil Construction,75.38309441423628,True,False
TCS.NS,2276.199951171875,2277.8445638020835,2401.569186740451,2392.3136669921873,2776.566961263021,2818.459481201172,2294.0482314260676,2176.883514966109,3404.054653859175,False,False,False,False,False,False,False,False,False,-31.354809135193328,noise,87.94570208220847,False,IT - Software,Computers - Software & Consulting,17.894216510133464,False,False
HINDALCO.NS,1103.800048828125,1075.6333414713542,1041.02222527398,1001.0860034179688,919.3340026855469,872.3977798461914,1084.4910939355561,613.5008869488823,1119.800048828125,True,True,True,True,True,True,True,True,False,71.17925175702217,noise,97.40323547456521,False,Non - Ferrous Metals,Aluminium,93.82105783489867,True,True
TATASTEEL.NS,210.47000122070312,212.1783332824707,210.82083426581488,205.600400390625,191.09713358561197,184.7591000366211,210.97086000026272,149.8000030517578,224.39999389648438,True,True,True,True,True,True,True,False,False,33.53480977089405,noise,58.06512113401801,False,Ferrous Metals,Iron & Steel,85.76371725160654,True,True
BHARTIARTL.NS,1846.9000244140625,1860.8000183105469,1849.9222276475693,1839.5400073242188,1973.950673828125,1958.3645043945312,1869.55307850202,1740.5,2174.5,False,True,False,False,True,False,True,False,False,1.6894101918029536,noise,59.97456477728784,False,Telecom - Services,Telecom - Cellular & Fixed line services,62.234305486900645,False,False
M&M.NS,3107.300048828125,3129.625,3157.8138970269097,3125.78201171875,3437.0973421223957,3433.8730053710938,3125.275697508827,2896.0,3839.89990234375,False,True,False,False,False,False,True,False,False,4.190005553525378,noise,54.73605376367414,False,Automobiles,Passenger Cars & Utility Vehicles,65.20019772614928,False,False
MARUTI.NS,13208.0,13117.0,13267.277777777777,13091.32,14865.406666666666,14879.46,13136.002881820259,11887.338955292347,17370.0,False,False,True,False,True,False,True,True,False,7.279673793451957,noise,47.81509966033128,False,Automobiles,Passenger Cars & Utility Vehicles,68.61097380128523,False,False
JSWSTEEL.NS,1293.5999755859375,1281.3750101725261,1255.9861145019531,1224.6960034179688,1193.8620035807292,1169.9475024414062,1284.314715153979,959.5660768846707,1314.0,True,True,True,True,True,True,True,True,False,28.986021546537778,noise,82.79607775506871,False,Ferrous Metals,Iron & Steel,83.58872960949085,True,True
GRASIM.NS,3165.0,3016.816691080729,2857.8416815863716,2789.6020166015624,2803.9133349609374,2802.2456506347658,3058.8317191557826,2501.8985572093397,3196.199951171875,True,True,False,False,True,False,True,True,False,18.76592581490426,noise,91.2980123685949,False,Cement & Cement Products,Cement & Cement Products,77.65694513099358,True,False
ICICIBANK.NS,1279.0999755859375,1253.3333536783855,1287.9583435058594,1276.7200073242188,1342.6713387044272,1357.9923028564453,1262.9768930957734,1187.5999755859375,1488.5144734435703,False,False,False,False,True,False,True,True,False,-10.618570349151335,noise,97.92122304919106,False,Banks,Private Sector Bank,45.97132970835393,False,False
COALINDIA.NS,458.1499938964844,459.72083536783856,457.3013899061415,456.7070013427734,419.16351806640625,406.6668647766113,459.43399466701715,345.88277906519255,491.25,True,True,True,True,True,True,True,False,False,22.943509560461028,green,136.0240869392256,False,Consumable Fuels,Coal,80.32624814631734,True,True
INFY.NS,1167.699951171875,1156.6166585286458,1214.2777676052517,1227.3119970703126,1426.6400602213541,1434.2864367675782,1167.5434615812164,1089.0,1728.0,False,False,False,False,False,False,False,True,False,-22.30970979391822,noise,61.482856195881084,False,IT - Software,Computers - Software & Consulting,28.670291646070194,False,False
NTPC.NS,389.70001220703125,391.25,392.8486107720269,388.2749987792969,356.89603556315103,349.94100021362306,391.1923151534201,313.0872779896664,414.3999938964844,True,True,True,True,True,False,True,False,False,17.160105877873445,noise,77.2888555250027,False,Power,Power Generation,76.52001977261493,True,False
BAJAJFINSV.NS,1800.699951171875,1761.4499918619792,1780.0111050075955,1761.9019970703125,1942.9553369140624,1956.4160021972657,1775.0646312288295,1597.0,2195.0,False,False,False,False,True,False,True,True,False,-9.96615094448563,noise,60.528988536963965,False,Finance,Holding Company,46.71280276816609,False,False
GAIL.NS,167.6300048828125,161.3216667175293,160.46833335028754,155.5683999633789,163.00500854492188,164.92658988952635,162.52866812436707,134.36000061035156,195.532374493087,True,False,False,False,True,False,True,True,False,-9.738873075969689,red,128.38059164811662,False,Gas,Gas Transmission/Marketing,46.95996045477015,False,False
BANKBARODA.NS,270.54998779296875,264.3583297729492,269.43138715955945,269.7453991699219,284.9404673258463,275.4163008117676,266.27734529091015,229.6940904055357,325.5,False,True,True,False,True,False,True,True,False,16.019525251284648,noise,93.22504152370959,False,Banks,Public Sector Bank,75.53138902619871,True,False
MOTHERSON.NS,135.82000732421875,131.1858342488607,125.56416681077745,121.61596420288086,118.24410527547201,113.74639801025391,132.83790140976944,89.42248454216111,139.00999450683594,True,True,True,True,True,True,True,True,False,38.21833888765225,noise,57.034436529991936,False,Auto Components,Auto Components & Equipments,86.75234799802274,True,True
AXISBANK.NS,1299.300048828125,1263.558349609375,1298.941667344835,1272.8699975585937,1281.5726684570313,1238.019000854492,1275.6052395515967,1042.5,1418.300048828125,True,True,True,False,True,False,True,True,False,9.416113154379602,noise,86.99886067475404,False,Banks,Private Sector Bank,70.43994068215521,True,False
HCLTECH.NS,1161.9000244140625,1158.0083312988281,1254.8592529296875,1274.6274487304688,1454.6781290690103,1443.8100646972657,1166.0206496351193,1103.4000244140625,1746.660434027475,False,True,False,False,False,False,False,False,False,-25.801403479231567,noise,27.315817798081003,False,IT - Software,Computers - Software & Consulting,23.97429560059318,False,False
