symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
HINDALCO.NS,1126.699951171875,1099.6416625976562,1057.4763878716362,1013.5890002441406,926.5796687825521,879.3050015258789,1109.8026882678353,613.5008869488823,1176.0,True,True,True,True,True,True,True,True,False,72.10744364135282,red,202.9177038041251,False,False,Non - Ferrous Metals,Aluminium,93.9735423811857,True,True,251947.37,705.0,6257186,0.2798
TATASTEEL.NS,208.02000427246094,211.65500005086264,211.9044452243381,207.070400390625,191.892133585612,185.55700004577636,211.4429728591241,149.8000030517578,224.39999389648438,True,True,True,True,True,True,True,False,False,31.67829763230565,red,221.17409790305308,False,False,Ferrous Metals,Iron & Steel,84.95835374816266,True,True,259439.38,663.0,31871867,0.2556
JSWSTEEL.NS,1278.0,1290.2750142415364,1267.5638936360676,1233.8780053710936,1196.6353377278647,1173.6210028076173,1289.924451484129,959.5660768846707,1328.0,True,True,True,True,True,True,True,False,False,26.412296363099497,red,152.7729713056142,False,False,Ferrous Metals,Iron & Steel,82.75355218030377,True,True,311912.94,255.14,1996427,0.0818
COALINDIA.NS,457.8999938964844,459.24166615804035,457.64027828640405,456.4390008544922,420.91425048828125,408.27720077514647,460.13311513198596,345.88274891411857,491.25,True,True,True,True,True,True,True,False,False,22.538481553403766,red,625.5310453935138,False,False,Consumable Fuels,Coal,80.35276825085742,True,True,282191.33,722.03,15768273,0.2559
MOTHERSON.NS,145.74000549316406,135.32583491007486,128.2238892449273,123.3024545288086,119.00279225667317,114.44854995727539,137.77273687109462,89.42248454216111,151.77000427246094,True,True,True,True,True,True,True,True,False,48.18352091157714,ppv,345.2594673209629,False,False,Auto Components,Auto Components & Equipments,90.10289073983341,True,True,153482.17,346.94,23805254,0.226
SAIL.NS,204.3699951171875,199.8908322652181,186.15166642930774,177.04600006103516,155.53620000203452,148.7069741821289,200.77642626422687,116.63813628480024,209.6999969482422,True,True,True,True,True,True,True,True,False,60.93593211406492,noise,69.65595901371154,False,False,Ferrous Metals,Iron & Steel,92.50367466927976,True,True,84415.54,545.75,26704040,0.6465
BAJAJ-AUTO.NS,10460.0,10372.294921875,9995.735622829861,9676.38552734375,9343.66521484375,9188.84125,10431.222121783685,7749.439654454236,10750.0,True,True,True,True,True,True,True,True,False,21.343686838161922,red,122.87569585174043,False,False,Automobiles,2/3 Wheelers,79.71582557569819,True,True,292118.23,413.02,394852,0.1414
CHENNPETRO.NS,1058.199951171875,1021.9916585286459,1037.1986067030166,1026.9358129882812,940.7107731119792,884.106178894043,1036.5280597384149,593.9771937515527,1159.699951171875,True,True,True,True,True,True,True,True,False,57.07224487891543,noise,29.155354020770623,False,False,Petroleum Products,Refineries & Marketing,91.52376286134249,True,True,15757.8,271.11,2561999,1.7205
ADANIPOWER.NS,243.3699951171875,230.1833356221517,216.81000094943576,199.72700042724608,164.0581337483724,156.79830009460449,235.50982983574175,105.41999816894531,254.1999969482422,True,True,True,True,True,True,True,True,False,120.2244054046572,red,143.09961206434093,False,False,Power,Integrated Power Utilities,96.66829985301322,True,True,469331.61,1153.0,47376411,0.2457
HINDZINC.NS,632.9500122070312,639.9541625976562,612.6755574544271,584.1816491699219,567.1071592203776,537.2917323303222,639.0368309377793,406.0805394823193,719.8477125036038,True,True,True,True,True,True,True,False,False,45.58787884828899,noise,64.68741202394997,False,False,Non - Ferrous Metals,Zinc,89.41695247427731,True,True,267441.57,401.86,6348942,0.1503
BHEL.NS,416.75,410.95833079020184,368.4766676161024,336.67580078125,291.81420054117837,275.73375022888183,412.5886026815556,205.1199951171875,424.8999938964844,True,True,True,True,True,True,True,True,False,60.520320371480075,red,104.48120865686874,False,False,Electrical Equipment,Heavy Electrical Equipment,92.45467907888289,True,True,145114.99,697.5,16736737,0.4807
IDEA.NS,13.989999771118164,13.646666685740152,11.38833334710863,10.696000003814698,10.653800036112468,9.906000034809113,13.67589963312811,6.119999885559082,14.4399995803833,True,True,True,True,True,True,True,True,False,101.0057427362149,red,159.15255384773462,False,False,Telecom - Services,Telecom - Cellular & Fixed line services,96.22733953944145,True,True,151571.9,732.31,523453306,0.4831
ADANIPORTS.NS,1804.5999755859375,1787.7333374023438,1674.5722351074219,1587.050009765625,1513.5073372395834,1480.1845025634766,1790.4523297975845,1290.5,1842.800048828125,True,True,True,True,True,True,True,True,False,29.508628282573078,red,107.62033096808167,False,False,Transport Infrastructure,Port & Port services,84.02743753062224,True,True,415772.45,582.61,3228478,0.1401
POLYCAB.NS,9477.5,9281.708333333334,8552.458333333334,8137.99,7761.96,7641.73,9335.152380975189,5727.946687671006,9747.0,True,True,True,True,True,True,True,True,False,60.190532609719206,red,104.94838037216567,False,False,Industrial Products,Cables - Electricals,92.40568348848603,True,True,142684.24,463.54,489095,0.3249
AUROPHARMA.NS,1426.4000244140625,1486.6083374023438,1434.0250006781685,1396.6259985351562,1255.9439965820313,1211.3892672729492,1465.9359478497886,1016.0999755859375,1550.0,True,True,True,True,True,True,True,False,False,19.601904571038055,red,163.60561692299632,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,79.02988731014209,True,True,82071.9,210.59,1476378,0.2566
FEDERALBNK.NS,288.95001220703125,286.59583536783856,289.22083452012805,283.23500061035156,270.77980122884117,252.56504112243653,288.14593399390276,183.99616636888095,302.0,True,True,True,True,True,True,True,True,False,43.56934022841599,ppv,1835.1476364120679,False,False,Banks,Private Sector Bank,88.78000979911808,True,True,71207.05,355.26,12294844,0.4989
MAHABANK.NS,79.2699966430664,79.33249982198079,78.2163889143202,74.39739990234375,66.10091692606608,63.18989036560058,79.77563957650736,49.79292179845341,85.9000015258789,True,True,True,True,True,True,True,False,False,57.918485635261916,noise,55.35822186774365,False,False,Banks,Public Sector Bank,91.71974522292994,True,True,60970.95,173.1,21836961,0.2839
NMDC.NS,87.98999786376953,90.14000002543132,89.11166699727376,86.19860000610352,80.11062713623046,78.05084197998048,89.99236323909284,63.93605553096449,94.25,True,True,True,True,True,True,True,False,False,26.383594912361772,red,212.22028085872358,False,False,Minerals & Mining,Industrial Minerals,82.70455658990691,True,True,77359.2,208.45,23689997,0.2695
ADANIENSOL.NS,1513.300048828125,1399.816670735677,1344.5027838812935,1243.98400390625,1068.7910001627604,1013.1895013427734,1443.7449706767538,744.9000244140625,1578.5,True,True,True,True,True,True,True,True,False,72.132173895657,noise,96.21932719591736,False,False,Power,Power Distribution,94.02253797158255,True,True,181790.11,476.89,3151324,0.2623
NESTLEIND.NS,1421.5,1426.7999877929688,1404.3916659884983,1345.9280029296874,1295.8896809895834,1265.3609197998046,1427.6545126041033,1078.874971449518,1498.0999755859375,True,True,True,True,True,True,True,False,False,16.638946591051717,red,606.0005127274685,False,False,Food Products,Packaged Foods,77.65801077902988,True,True,274109.88,284.79,2003437,0.1039
GOKULAGRO.NS,229.0800018310547,232.2791659037272,225.1013887193468,213.94119995117188,189.1901994832357,186.3442746734619,230.18172666871976,119.20999908447266,249.9199981689453,True,True,True,True,True,True,True,False,False,88.23336694780704,dry,9.183111429013536,False,False,Agricultural Food & other Products,Edible Oil,95.44341009309161,True,True,6759.85,58.83,2568052,0.8703
APARINDS.NS,13118.0,12763.75,12255.5,11596.87,9807.04,9455.7975,12899.914462917463,6801.0,13580.0,True,True,True,True,True,True,True,True,False,72.5826103597242,red,282.02356929493857,False,False,Electrical Equipment,Other Electrical Equipment,94.16952474277315,True,True,52700.56,158.01,120453,0.2998
NLCINDIA.NS,347.54998779296875,351.0499954223633,321.06805589463977,306.099001159668,269.8843315633138,264.86405303955075,346.0780808667373,216.33624791780156,387.79998779296875,True,True,True,True,True,True,True,True,False,48.713066306191855,red,149.8684407653118,False,False,Power,Power Generation,90.24987751102401,True,True,48192.55,214.44,6169956,0.445
AUBANK.NS,984.7000122070312,987.6916707356771,1004.5972239176432,971.282001953125,961.9353336588541,905.7562509155273,992.8778390185205,682.1500244140625,1079.550048828125,True,True,True,True,True,True,True,False,False,41.066581070685416,red,212.16089110554134,False,False,Banks,Other Bank,88.04507594316512,True,True,73690.89,226.2,2297129,0.307
NATIONALUM.NS,424.45001220703125,412.27083587646484,415.36429002549914,406.09114501953127,342.0612782796224,306.2141593170166,417.17096185407155,168.71957714239406,442.9435720664075,True,True,True,True,True,True,True,True,False,143.8147023562329,red,839.2940031383413,False,False,Non - Ferrous Metals,Aluminium,97.84419402253796,True,True,77955.84,603.4,14215984,0.774
LLOYDSME.NS,1802.0999755859375,1752.2250061035156,1696.9222276475693,1581.8300048828125,1359.6180029296875,1352.3535028076171,1777.109381716927,1042.9000244140625,1888.5999755859375,True,True,True,True,True,True,True,True,False,33.587841036763336,noise,87.15427867562359,False,False,Minerals & Mining,Industrial Minerals,85.84027437530622,True,True,101378.26,127.82,709272,0.1261
BHARATFORG.NS,1957.199951171875,1914.8416646321614,1892.8444485134548,1840.8920043945313,1617.3879264322916,1510.9183557128906,1926.4457705997966,1099.2431646909151,2044.0,True,True,True,True,True,True,True,True,False,57.52041094821825,green,232.78937915482092,False,False,Auto Components,Auto Components & Equipments,91.67074963253307,True,True,93571.5,266.01,1359138,0.2843
RPTECH.NS,543.0999755859375,533.1375020345052,493.54722086588544,454.2,384.46099955240885,364.69104080200196,532.7533333418581,274.03069500955513,560.0,True,True,True,True,True,True,True,True,False,72.09467484460393,green,116.46080013273937,False,False,IT - Hardware,Computers Hardware & Equipments,93.92454679078884,True,True,3579.01,10.62,195611,0.2968
WELCORP.NS,1376.9000244140625,1324.8916625976562,1220.6847195095486,1108.607996826172,917.4736665852864,905.05,1327.6417960835442,710.0,1394.800048828125,True,True,True,True,True,True,True,True,False,78.28932383537254,green,206.22403245456803,False,False,Industrial Products,Iron & Steel Products,94.61048505634493,True,True,36309.39,119.45,867517,0.329
CESC.NS,182.08999633789062,181.83166376749674,180.18138800726996,172.55819915771485,166.59884847005208,164.64973373413085,182.86193812835992,138.1199951171875,204.5,True,True,True,True,True,True,True,False,False,12.381639041301074,noise,90.04942809319493,False,False,Power,Integrated Power Utilities,73.64037236648701,True,True,24137.31,64.63,3549244,0.2678
GLENMARK.NS,2274.89990234375,2348.0416259765625,2321.169440375434,2268.252001953125,2076.367332356771,2054.1807385253906,2341.789054613657,1372.2341546609025,2474.0,True,True,True,True,True,True,True,False,False,64.65559148405598,red,193.28563306625173,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,92.99363057324841,True,True,64197.86,156.45,687714,0.2437
SIEMENS.NS,3844.0,3682.9999796549478,3684.6055569118926,3512.816005859375,3269.3693359375,3242.5505017089845,3740.801501871064,2826.0,3937.300048828125,True,True,True,True,True,True,True,True,False,17.291671276010014,red,372.26955824819817,False,False,Electrical Equipment,Heavy Electrical Equipment,77.85399314061733,True,True,136892.72,195.38,508273,0.1427
RBLBANK.NS,345.0,337.10416920979816,329.61944580078125,321.72400146484375,314.40700052897137,303.7052741241455,340.47221966563353,203.27082122989432,353.0,True,True,True,True,True,True,True,True,False,64.148361022547,red,134.2916568399441,False,False,Banks,Private Sector Bank,92.79764821166096,True,True,21360.25,181.23,5252903,0.8484
ADANIGREEN.NS,1475.4000244140625,1412.3416748046875,1288.7319471571182,1172.1110021972656,1046.9663330078124,1034.070249938965,1429.028632193609,765.0,1532.5,True,True,True,True,True,True,True,True,False,45.64659668450766,noise,87.0591603405272,False,False,Power,Power Generation,89.51494365507105,True,True,243024.37,692.62,4694465,0.285
KEI.NS,5267.5,5189.183349609375,4959.022271050348,4734.468037109375,4444.976272786458,4344.742646484375,5237.495445335757,3412.5594629566626,5476.2998046875,True,True,True,True,True,True,True,True,False,50.833346324749385,noise,78.23840239712202,False,False,Industrial Products,Cables - Electricals,90.64184223419892,True,True,50357.61,251.54,477534,0.4995
THERMAX.NS,4982.7001953125,4528.6667073567705,4223.386128743489,3948.2900048828124,3323.6093326822916,3308.498498535156,4561.286196158362,2742.699951171875,5075.0,True,True,True,True,True,True,True,True,False,41.003491106146114,ppv,501.9601009121249,True,False,Electrical Equipment,Heavy Electrical Equipment,87.89808917197452,True,True,56129.46,155.37,311818,0.2768
