symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
JINDALSAW.NS,247.08999633789062,227.76577504475912,227.74921798706055,216.82139221191406,186.8817560831706,190.86200080871583,232.080613448432,151.60325107352764,258.0227782435487,True,False,False,True,True,True,True,True,True,16.59590130948971,ppv,113.61060040628405,False,False,Industrial Products,Iron & Steel Products,77.47306562193927,True,False
KARURVYSYA.NS,288.75,291.59999593098956,291.448609246148,287.54499755859376,278.39499959309893,262.6285414123535,291.72056403515415,179.94499972680077,343.45001220703125,True,True,True,True,True,True,True,False,True,54.33067809436414,noise,56.73524920415185,False,False,Banks,Private Sector Bank,91.23408423114594,True,True
PREMIERENE.NS,1061.0,1006.2250010172526,1006.1574062771267,975.2904760742188,898.905322672526,930.7705160522461,1021.5079106983175,666.4089382565205,1134.722047365493,True,False,False,True,True,True,True,True,True,2.445912376376036,green,175.95940946959263,False,False,Electrical Equipment,Other Electrical Equipment,64.54456415279138,False,False
ELECTHERM.NS,883.3499755859375,765.1499989827474,761.4694417317709,717.1489965820313,797.4576656087239,836.5875,789.7636677299084,551.0,1280.4000244140625,True,False,False,False,True,True,False,True,True,-16.923734127588208,green,195.9538173625301,False,False,Industrial Products,Iron & Steel Products,37.90401567091087,False,False
BANCOINDIA.NS,656.25,612.5708363850912,612.111107720269,592.7279791259766,641.3770050048828,649.5779801940918,622.9939250343484,502.0,859.7877065596524,True,False,False,False,True,True,True,True,True,23.851847756221957,ppv,1010.2198155441553,False,False,Auto Components,Auto Components & Equipments,81.14593535749265,True,False
NETWEB.NS,4670.7001953125,3943.0250244140625,3926.4222412109375,3727.5780126953123,3464.251337890625,3363.000729980469,4075.6341217469185,1698.0424989895453,4760.0,True,True,True,True,True,True,True,True,True,143.26897596351677,ppv,721.468665747651,True,False,IT - Services,IT Enabled Services,97.79627815866797,True,True
MAHLIFE.NS,332.70001220703125,333.20833587646484,332.7652799818251,332.4250012207031,365.4376670328776,364.4637503051758,335.9054170849255,286.79998779296875,427.04998779296875,False,True,False,False,True,False,True,False,True,-0.5218310770353285,red,207.0548747889513,False,False,Realty,"Residential, Commercial Projects",61.16552399608227,False,False
SHANKARA.NS,121.0199966430664,121.02583312988281,120.63611072964139,117.42339981079101,116.14199996948243,281.27830059051513,122.30845257755321,98.25,1209.800048828125,False,False,False,False,True,False,False,False,True,-84.41073970754996,dry,12.8944501268073,False,False,Retailing,Speciality Retail,0.2448579823702253,False,False
RUPA.NS,154.5500030517578,147.9008331298828,147.65638902452258,140.6036000061035,155.47120005289713,166.57081871032716,150.68847813114542,109.20999908447266,229.38646507512686,False,False,False,False,True,True,False,True,True,-26.46801504733528,noise,39.78999794198532,False,False,Textiles & Apparels,Garments & Apparels,24.289911851126348,False,False
IGIL.NS,371.79998779296875,351.9124984741211,351.88055504692926,344.26399963378907,331.1438934326172,335.5063688659668,362.8375765056511,284.8031402273277,435.3585193465419,True,False,False,True,True,True,True,True,True,0.5117600193579541,ppv,169.06109664238832,False,True,Commercial Services & Supplies,Diversified Commercial Services,62.340842311459355,False,False
VINCOFE.NS,144.8800048828125,137.8108336130778,136.73444430033365,135.5839993286133,148.0041328938802,147.89364974975587,142.4438085242702,111.62541305545797,179.85000610351562,False,True,False,False,True,False,True,True,True,28.879732414741955,noise,84.98207342453226,False,False,Commercial Services & Supplies,Trading & Distributors,83.7904015670911,True,False
BBTCL.NS,225.41000366210938,196.93583552042642,196.08833355373807,188.6311996459961,190.70620005289715,193.09689971923828,201.19330683438423,149.0,233.0,True,False,False,False,True,True,True,True,True,39.4777568286645,ppv,1220.7261392427883,False,False,Industrial Products,Packaging,87.5122428991185,True,False
ICEMAKE.NS,835.1500244140625,794.7083384195963,794.2402835422092,777.7620068359375,760.0673343912761,755.4142370605468,817.5666529113095,660.2999877929688,920.0,True,True,False,True,True,False,True,True,True,1.9744430012928804,red,222.92067355819006,False,False,Industrial Manufacturing,Industrial Products,64.15279138099902,False,False
ROSSTECH.NS,1056.75,947.4500020345052,942.9861178927952,875.4020031738281,742.5040014648438,730.067646484375,983.4294237288449,353.90277099609375,1099.4000244140625,True,True,True,True,True,True,True,True,True,173.91560848866982,red,101.03331079410034,False,False,Aerospace & Defense,Aerospace & Defense,98.62879529872673,True,True
INDTERRAIN.NS,31.969999313354492,31.956666151682537,31.84805546866523,30.849599952697755,33.634133415222166,34.01115015029907,32.094118629256464,24.559999465942383,45.0,False,False,False,False,True,True,False,False,True,-14.05914339333927,noise,95.76652191925857,False,False,Textiles & Apparels,Garments & Apparels,42.507345739471106,False,False
THOMASCOTT.NS,309.29998779296875,271.33750025431317,271.07805675930445,266.4350003051758,316.2496669514974,322.5870001220703,280.3548544457725,230.0,459.79998779296875,False,False,False,False,True,True,False,True,True,-11.641194521081054,ppv,455.4946501944806,False,False,Textiles & Apparels,Garments & Apparels,46.523016650342804,False,False
TCL.NS,105.55000305175781,96.07083320617676,95.87083329094781,92.67800018310547,99.64166676839193,104.2405001449585,97.66383768078902,74.05000305175781,137.0,True,False,False,False,True,True,True,True,True,9.548525919393525,green,279.838165879973,False,False,Auto Components,Auto Components & Equipments,71.15572967678746,True,False
ORBTEXP.NS,175.0399932861328,164.5808334350586,164.26027721828885,159.91279998779297,180.7375331624349,183.9073998260498,167.3789349512656,135.0,265.0,False,False,False,False,True,False,False,True,True,3.9368146071212973,green,171.36440813905273,False,False,Textiles & Apparels,Other Textile Products,65.96474045053868,False,False
MANCREDIT.NS,200.38999938964844,173.15833282470703,172.48249986436633,171.35120025634765,170.8921330769857,173.984243850708,178.1482918289508,152.05999755859375,214.88316263843788,True,False,False,False,True,True,True,True,True,20.05392607219092,ppv,628.3752120095148,False,False,Finance,Non Banking Financial Company (NBFC),79.18707149853084,True,False
