symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
COALINDIA.NS,472.1499938964844,461.61666615804035,459.2111112806532,456.98500061035156,422.19179280598956,409.4019039916992,464.1725810022876,345.88274891411857,491.25,True,True,True,True,True,True,True,True,False,26.907195252414006,red,149.02188227343407,False,True,Consumable Fuels,Coal,83.27645051194538,True,True,290973.21,769.23,16292014,0.2644
RPTECH.NS,554.2000122070312,540.3791707356771,502.40277608235675,462.455,387.41599955240883,367.42774963378906,540.0439673513937,274.03069500955513,575.0,True,True,True,True,True,True,True,True,False,79.2206577171604,red,105.87638835507053,False,True,IT - Hardware,Computers Hardware & Equipments,94.7342759629449,True,True,3652.16,11.09,200153,0.3037
THERMAX.NS,4969.7001953125,4596.8583577473955,4310.491678873698,4017.5880078125,3347.8553336588543,3323.254998779297,4699.73539396758,2742.699951171875,5075.0,True,True,True,True,True,True,True,True,False,44.559246418791275,noise,96.1157557754521,False,True,Electrical Equipment,Heavy Electrical Equipment,89.02974158946854,True,True,55983.01,155.21,312308,0.2772
J&KBANK.NS,141.9199981689453,139.00166829427084,134.21666738722058,129.2540005493164,113.97500020345052,111.2906411743164,140.2241721745934,97.3499984741211,145.0,True,True,True,True,True,True,True,True,False,44.787175732325046,noise,53.575776505069896,False,True,Banks,Private Sector Bank,89.12725499756216,True,True,15627.98,81.94,5773718,0.5243
CRAFTSMAN.NS,8979.0,8695.5,8187.666666666667,7833.26,7467.79,7295.895,8755.789058527886,5095.705042553002,9738.0,True,True,True,True,True,True,True,True,False,57.32235843505378,noise,32.390741598281316,False,True,Auto Components,Auto Components & Equipments,91.66260360799609,True,True,21419.93,104.17,116018,0.4863
LAURUSLABS.NS,1382.5999755859375,1362.8666687011719,1230.7061258951824,1173.2814978027343,1070.4136743164063,1022.3493493652344,1361.045329067846,605.0977766460533,1398.800048828125,True,True,True,True,True,True,True,True,False,125.40579229488435,red,115.28129035286018,False,True,Pharmaceuticals & Biotechnology,Pharmaceuticals,97.17211116528523,True,True,74658.56,273.39,1977395,0.3662
TMB.NS,739.75,693.2666625976562,694.6597222222222,671.6640014648438,598.5086682128906,556.1897511291504,701.9137849963561,411.79998779296875,770.0,True,True,True,True,True,True,True,True,False,69.3593401951451,noise,60.14888713535622,False,True,Banks,Private Sector Bank,93.954168698196,True,True,11714.05,36.6,494820,0.3125
HSCL.NS,607.0999755859375,591.8543039957682,577.0820685492622,542.1592687988282,489.10841756184897,482.1096842956543,601.0954388985333,417.9330556788151,653.5634546798412,True,True,True,True,True,True,True,True,False,27.688196526880372,noise,83.65049539361445,False,True,Chemicals & Petrochemicals,Carbon Black,83.76401755241346,True,True,30630.72,443.6,7306874,1.4482
LUMAXTECH.NS,1746.800048828125,1661.5750020345051,1688.4972262912327,1669.606005859375,1545.3840022786458,1447.1065017700196,1688.979921550561,655.2147318348904,1898.0,True,True,True,True,True,True,True,True,False,164.3510205469026,red,114.19168195724787,False,True,Auto Components,Auto Components & Equipments,98.34227206240858,True,True,11905.79,44.56,255093,0.3743
SATIN.NS,231.1199951171875,220.43333180745444,198.06277720133463,183.844599609375,161.38226643880208,157.08894981384276,221.0830256109831,133.00999450683594,245.5399932861328,True,True,True,True,True,True,True,True,False,43.964124070479386,noise,63.67534556229943,False,True,Finance,Microfinance Institutions,88.73720136518772,True,True,2542.04,21.14,914851,0.8318
SANGAMIND.NS,527.2000122070312,505.8333384195964,504.0041673448351,484.13700012207033,462.2449997965495,445.3734832763672,514.6294948845002,339.84925342523246,576.9500122070312,True,True,True,True,True,True,True,True,False,30.133442731474315,noise,57.3010276060416,False,True,Textiles & Apparels,Other Textile Products,84.73915163334958,True,True,2599.62,2.57,48665,0.0987
NETWEB.NS,4782.7998046875,4080.925008138021,4001.883348253038,3783.63201171875,3476.0126708984376,3388.783455810547,4285.204639028412,1698.0424989895453,4925.7001953125,True,True,True,True,True,True,True,True,False,136.64912244779995,green,262.91554322324424,False,True,IT - Services,IT Enabled Services,97.65967820575328,True,True,27233.59,821.85,1718340,3.0178
GRAPHITE.NS,721.3499755859375,741.5416615804037,727.3138868543837,696.9069970703125,640.2356677246094,616.5762509155273,735.3326033890248,502.996619240164,802.4000244140625,True,True,True,True,True,True,True,False,False,32.87342282629213,noise,28.338803518323445,False,True,Industrial Products,Electrodes & Refractories,85.6655290102389,True,True,14093.42,136.16,1887634,0.9662
SPORTKING.NS,190.63999938964844,164.90666580200195,151.53055402967664,143.44659912109375,112.8915330505371,111.22216979980469,172.2202444327025,78.16999816894531,198.5,True,True,True,True,True,True,True,True,False,62.20144707650961,ppv,145.20077241527926,False,True,Textiles & Apparels,Other Textile Products,92.97903461725987,True,True,2426.29,9.5,498129,0.3914
MUTHOOTMF.NS,179.60000610351562,178.8208325703939,185.4555558098687,176.8861996459961,176.18973327636718,172.9170001220703,179.40773153923354,124.12000274658203,217.99000549316406,True,True,True,True,True,True,True,True,False,39.300408210798295,noise,48.49040312809127,False,True,Finance,Microfinance Institutions,87.51828376401755,True,True,3013.09,13.04,726015,0.4328
ANURAS.NS,1324.9000244140625,1354.8916625976562,1340.3138902452256,1315.6120043945311,1267.2493375651043,1227.1515051269532,1344.9590067840822,977.512075459017,1415.0,True,True,True,True,True,True,True,False,False,33.773745402120305,noise,73.23269137223761,False,True,Chemicals & Petrochemicals,Specialty Chemicals,85.81179912237933,True,True,15083.76,41.39,312385,0.2744
KINGFA.NS,5340.0,5307.950032552083,4999.269449869792,4756.379995117188,4419.981342773437,4395.886010742188,5327.880571927273,3006.0,5699.39990234375,True,True,True,True,True,True,True,True,False,58.99008776109444,noise,38.664405590316356,False,True,Industrial Products,Plastic Products - Industrial,92.24768405655777,True,True,7236.44,4.14,7745,0.0572
