rank,symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,rs_score,vcp_score,volume_score,entry_score,group_score,entry_status,market_state,market_multiplier,minervini_score,grade
1,GVPIL.NS,2026-07-07,883.4500122070312,948.7291768391927,892.7500050862631,824.9090002441407,534.5319999186198,482.9150003051758,924.587195829147,270.8999938964844,1084.0,True,True,True,True,True,True,True,False,False,186.18399004614906,red,131.95774116802443,False,False,False,False,,Electrical Equipment,Heavy Electrical Equipment,98.89369889369888,True,True,5939.21,29.81,337442.0,0.5019,67.4,50.0,71.2,98.6,70.45454545454545,actionable,unknown,1.0,68.9,B
2,NDLVENTURE.NS,2026-07-07,132.30999755859375,131.72333145141602,130.3052772945828,127.56779968261719,111.49946665445964,105.10109992980956,131.96231384430314,61.861444746250015,140.0,True,True,True,True,True,True,True,True,False,104.01024866421507,noise,86.6014711444207,False,False,False,False,,Finance,Other Financial Services,96.92159692159692,True,True,445.51,0.42,31378.0,0.0932,62.8,50.0,89.0,100.0,52.27272727272727,actionable,unknown,1.0,68.8,B
3,CENTUM.NS,2026-07-07,3556.0,3651.8583170572915,3470.449998643663,3319.13599609375,2777.74466796875,2723.3139978027343,3629.887089223281,2044.199951171875,3916.0,True,True,True,True,True,True,True,False,False,51.39651756460899,noise,73.42970759850445,False,False,False,False,,Industrial Manufacturing,Industrial Products,91.14959114959115,True,True,5241.89,25.33,71230.0,0.4832,49.3,50.0,85.2,99.2,79.54545454545455,actionable,unknown,1.0,68.7,B
4,MODISONLTD.NS,2026-07-07,294.1000061035156,311.9874979654948,292.18888812594946,256.3775991821289,180.13287526448568,172.96870002746581,303.9824146320705,114.0,362.70001220703125,True,True,True,True,True,True,True,False,False,79.93922590090567,dry,8.648435864204131,False,False,False,False,,Electrical Equipment,Other Electrical Equipment,95.18999518999519,True,True,954.35,6.02,204616.0,0.6306,58.8,50.0,90.2,83.3,70.45454545454545,actionable,unknown,1.0,68.3,B
5,STLTECH.NS,2026-07-07,555.9000244140625,595.9291636149088,568.2791637844509,510.35539672851564,270.42679880777996,232.02184894561768,587.182800563733,84.5999984741211,679.9000244140625,True,True,True,True,True,True,True,False,False,388.96122128290324,noise,55.715982069141,False,True,False,False,,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,99.80759980759981,True,True,28567.49,257.65,4634777.0,0.9019,69.6,50.0,58.8,79.0,97.72727272727273,actionable,unknown,1.0,68.2,B
6,CUPID.NS,2026-07-07,221.11000061035156,191.94083150227866,157.45388751559787,148.18219909667968,107.0908664449056,93.12576982498169,196.56302504147268,21.290000915527344,221.64999389648438,True,True,True,True,True,True,True,True,False,910.4652267558773,ppv,410.42642549468314,True,False,True,False,,Personal Products,Personal Care,100.0,True,True,29731.79,432.87,19577132.0,1.4559,80.0,50.0,93.8,0.0,90.9090909090909,extended,unknown,1.0,64.9,B
7,DPEL.NS,2026-07-06,534.8499755859375,486.55832926432294,494.0097173055013,497.0249957275391,380.1373318481445,351.418498840332,495.8394994460257,123.0,547.7999877929688,True,True,True,True,True,True,True,True,False,280.13502998346695,ppv,143.08053166536357,False,False,False,False,,Industrial Products,Cables - Electricals,99.47089947089947,True,True,251.91,0.63,59851.0,0.2518,78.8,50.0,91.2,60.9,34.090909090909086,actionable,unknown,1.0,64.7,B
8,ATHERENERG.NS,2026-07-07,1140.5999755859375,1070.7208353678386,1006.0986107720269,985.0589990234375,808.7169986979167,768.8699990844726,1097.3087015199426,318.6000061035156,1176.199951171875,True,True,True,True,True,True,True,True,False,248.70068917851924,noise,85.54075245248043,False,False,False,False,,Automobiles,2/3 Wheelers,99.32659932659934,True,True,43720.34,555.84,4873193.0,1.2713,78.4,50.0,90.2,0.0,95.45454545454545,extended,unknown,1.0,64.5,B
9,SJS.NS,2026-07-07,2208.300048828125,2186.0147908528647,2104.2311570909287,2044.5940649414063,1812.9205053710937,1755.2946350097657,2193.841116554738,1129.4649379983273,2282.990664825098,True,True,True,True,True,True,True,True,False,77.61315891426823,noise,55.34041355693316,False,False,False,False,,Auto Components,Auto Components & Equipments,94.94949494949495,True,True,7067.7,25.77,116700.0,0.3646,58.2,50.0,90.2,63.8,65.9090909090909,actionable,unknown,1.0,64.5,B
10,MIRCELECTR.NS,2026-07-06,44.400001525878906,41.93416659037272,40.2991664674547,39.736999893188475,32.36899992624919,30.922649927139283,42.23854382772704,13.6899995803833,49.22999954223633,True,True,True,True,True,True,True,True,False,212.4560267887853,noise,27.69099839885737,False,False,False,False,,Consumer Durables,Consumer Electronics,99.13419913419914,True,True,1411.82,8.14,2130369.0,0.5767,68.0,50.0,53.3,83.4,77.27272727272727,actionable,unknown,1.0,64.3,B
11,PARIN.NS,2026-07-06,707.4500122070312,717.1749979654948,702.5333336724175,685.1259997558594,647.967001546224,622.0997508239747,715.0811673008706,311.6499938964844,748.0,True,True,True,True,True,True,True,False,False,102.12857491629465,noise,32.97466157584172,False,False,False,False,,Consumer Durables,"Furniture, Home Furnishing",96.77729677729677,True,True,257.33,0.59,25636.0,0.2306,62.5,50.0,58.8,84.7,77.27272727272727,actionable,unknown,1.0,64.2,B
12,ADANIGREEN.NS,2026-07-07,1519.0,1528.999979654948,1480.397220187717,1438.2919995117188,1126.327665608724,1108.9474990844726,1528.2924070358652,765.0,1589.0999755859375,True,True,True,True,True,True,True,False,False,50.61973227565693,noise,50.683628762313795,False,False,False,False,,Power,Power Generation,91.1014911014911,True,True,250206.06,640.65,4217552.0,0.256,59.2,50.0,56.2,100.0,59.09090909090909,actionable,unknown,1.0,62.4,B
13,SAKAR.NS,2026-07-07,823.3499755859375,824.9249979654948,810.2833302815756,756.1549987792969,566.866665242513,517.1879995727539,826.9871032178542,311.0,889.9500122070312,True,True,True,True,True,True,True,False,False,137.1741293567327,noise,36.73463858920081,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,97.97979797979798,True,True,1807.25,15.23,185030.0,0.843,65.3,50.0,56.2,90.1,56.81818181818182,actionable,unknown,1.0,62.1,B
14,HARDWYN.NS,2026-07-07,25.18000030517578,24.66250006357829,24.905833350287544,24.856400032043457,20.514800020853677,18.96630000591278,24.645791882516825,10.869999885559082,28.280000686645508,True,True,True,True,True,True,True,True,False,92.21373719037072,ppv,188.35676415980882,False,False,False,False,,Consumer Durables,"Furniture, Home Furnishing",96.05579605579607,True,True,1229.88,11.04,4382840.0,0.8973,60.8,50.0,74.3,50.0,77.27272727272727,watch — approaching pivot,unknown,1.0,61.7,B
15,HFCL.NS,2026-07-07,226.0399932861328,212.70416514078775,187.7113880581326,173.3859997558594,105.57960004170735,97.92835020065307,213.67130665243332,59.81999969482422,229.5,True,True,True,True,True,True,True,True,False,167.82313656338442,noise,56.001833389316936,False,False,True,False,,Telecom - Services,Telecom - Infrastructure,98.55699855699855,True,True,34590.08,1228.92,54367164.0,3.5528,76.6,50.0,87.8,0.0,81.81818181818183,extended,unknown,1.0,61.5,B
16,CRAFTSMAN.NS,2026-07-07,9099.0,9299.958333333334,9081.152777777777,8845.64,7881.233333333334,7593.385,9232.50193250187,5518.3486385509395,9938.0,True,True,True,True,True,True,True,False,False,59.73810659606722,dry,18.100995123090705,False,False,False,False,,Auto Components,Auto Components & Equipments,92.64069264069265,True,True,23797.92,117.66,129315.0,0.4944,52.8,50.0,53.8,100.0,65.9090909090909,actionable,unknown,1.0,61.3,B
17,AIMTRON.NS,2026-07-06,1338.800048828125,1262.2791748046875,1219.7527872721355,1185.167001953125,951.5663342285156,911.5712493896484,1273.09076819628,615.0,1416.0,True,True,True,True,True,True,True,True,False,99.44879684590317,ppv,170.21579659568405,False,False,True,False,,Industrial Manufacturing,Industrial Products,96.63299663299664,True,True,1113.17,2.99,54875.0,0.2688,72.1,50.0,91.2,0.0,79.54545454545455,extended,unknown,1.0,60.7,B
18,MUFIN.NS,2026-07-07,131.97000122070312,131.41916847229004,125.86694547865126,122.82180053710937,115.27826665242513,111.57764999389649,131.84954941923684,78.5,138.0,True,True,True,True,True,True,True,True,False,64.18263962442647,noise,24.843212901389794,False,False,False,False,,Finance,Non Banking Financial Company (NBFC),93.5064935064935,True,True,2615.15,29.18,2211099.0,1.1158,64.8,50.0,66.8,70.8,52.27272727272727,actionable,unknown,1.0,60.5,B
19,SPORTKING.NS,2026-07-07,182.32000732421875,178.5658327738444,176.05499988132053,168.63879943847655,126.70486643473308,120.23279975891113,179.41090064907092,78.16999816894531,198.5,True,True,True,True,True,True,True,True,False,62.5374315872639,noise,31.574164229751368,False,True,False,False,,Textiles & Apparels,Other Textile Products,93.31409331409331,True,True,2320.4,9.61,527081.0,0.4141,54.4,50.0,73.8,100.0,29.545454545454547,actionable,unknown,1.0,60.3,B
20,MWL.NS,2026-07-07,375.6499938964844,374.0583318074544,375.32222239176434,367.80300048828127,302.5372663370768,285.2577495574951,375.4080958542019,157.81095619201662,395.5,True,True,True,True,True,True,True,True,False,132.1604914463036,noise,51.78226915295846,False,False,False,False,,Metals & Minerals Trading,Trading - Metals,97.88359788359789,True,True,1115.71,2.62,69854.0,0.2352,65.1,50.0,57.2,50.0,84.0909090909091,watch — approaching pivot,unknown,1.0,60.3,B
21,BAJAJCON.NS,2026-07-07,620.25,602.2500050862631,581.3763902452257,559.8020013427735,411.92466817220054,375.0208009338379,608.2699270196275,218.94000244140625,632.5999755859375,True,True,True,True,True,True,True,True,False,175.49524814848075,noise,44.51081045195274,False,True,False,False,,Personal Products,Personal Care,98.7012987012987,True,True,8101.6,82.72,1333584.0,1.021,67.0,40.0,61.2,50.0,90.9090909090909,watch — approaching pivot,unknown,1.0,60.1,B
22,BELRISE.NS,2026-07-07,229.97000122070312,238.56166966756186,227.68944549560547,223.95240112304688,196.0769341023763,186.06585083007812,234.0899083829758,101.41315079117129,252.0,True,True,True,True,True,True,True,False,False,126.18778567881898,ppv,304.73188390455357,False,False,False,False,,Auto Components,Auto Components & Equipments,97.54689754689755,True,True,20464.55,105.05,4568117.0,0.5133,64.3,50.0,67.5,50.0,65.9090909090909,actionable,unknown,1.0,59.5,B
23,SWANDEF.NS,2026-07-07,2303.5,2230.3917032877603,2067.0833502875435,2013.7160131835938,1809.0596663411459,1548.1340017700195,2248.1793939144095,228.57000732421875,2489.0,True,True,True,True,True,True,True,True,False,907.7875163789814,noise,48.33845997599283,False,False,False,False,,Industrial Manufacturing,Ship Building & Allied Services,99.95189995189995,True,True,12135.33,4.51,19573.0,0.0372,69.9,50.0,86.5,0.0,79.54545454545455,extended,unknown,1.0,59.2,B
24,SIGMAADV.NS,2026-07-07,541.3499755859375,573.2416534423828,473.7374954223633,426.23999755859376,262.79459991455076,241.1050998687744,553.5454261391621,95.52999877929688,638.0999755859375,True,True,True,True,True,True,True,False,False,414.98284003187916,ppv,129.83580213516007,False,True,False,False,,Aerospace & Defense,Aerospace & Defense,99.90379990379991,True,True,9540.74,23.13,427271.0,0.2424,69.8,50.0,67.5,50.0,54.54545454545454,actionable,unknown,1.0,59.1,B
25,ADANIENSOL.NS,2026-07-07,1651.0,1536.9416910807292,1501.5416734483506,1460.161005859375,1167.1193343098957,1111.9895013427733,1561.8807249916113,744.9000244140625,1663.9000244140625,True,True,True,True,True,True,True,True,False,88.63181948014854,green,126.77687281168657,False,False,True,False,,Power,Power Distribution,95.86339586339587,True,True,198331.76,564.0,3416138.0,0.2844,70.3,50.0,73.8,35.0,59.09090909090909,actionable,unknown,1.0,58.9,B
26,LOKESHMACH.NS,2026-07-07,337.20001220703125,293.6375045776367,270.2777794731988,265.63420135498046,214.8892668660482,207.65995071411132,302.51339761572837,138.9600067138672,337.20001220703125,True,True,True,True,True,True,True,True,False,75.79897633022182,ppv,478.1349107078011,False,False,True,False,,Industrial Manufacturing,Industrial Products,94.70899470899471,True,True,718.13,1.45,43124.0,0.2025,67.7,50.0,86.2,0.0,79.54545454545455,extended,unknown,1.0,58.6,B
27,THYROCARE.NS,2026-07-07,532.0,541.1250050862631,519.3737123277452,498.2314178466797,438.52134765625,437.53899322509767,540.634816758254,314.79246049814066,574.9000244140625,True,True,True,True,True,True,True,False,False,61.93404842552395,noise,44.74623456090232,False,False,False,False,,Healthcare Services,Healthcare Service Provider,93.16979316979317,True,True,8467.4,27.47,516280.0,0.3244,54.1,50.0,73.8,76.6,40.909090909090914,actionable,unknown,1.0,58.4,B
28,AZAD.NS,2026-07-07,2275.300048828125,2083.9083455403647,2089.6194525824653,2108.184006347656,1786.7020052083333,1752.417003173828,2134.4506439072047,1360.0,2350.0,True,True,True,True,True,True,True,True,False,37.463757609297986,ppv,226.23067516730217,False,False,False,False,,Electrical Equipment,Heavy Electrical Equipment,86.96488696488697,True,True,14694.28,115.24,506490.0,0.7843,49.6,50.0,88.8,31.4,70.45454545454545,actionable,unknown,1.0,57.9,B
29,IDEA.NS,2026-07-07,13.850000381469727,14.325000127156576,14.323055611716377,13.542600059509278,11.482133394877115,10.929650037288665,14.274314444837199,6.119999885559082,15.34000015258789,True,True,True,True,True,True,True,False,False,84.91322836718984,noise,71.34493981064917,False,False,False,False,,Telecom - Services,Telecom - Cellular & Fixed line services,95.47859547859548,True,True,150055.11,716.09,517030534.0,0.4772,59.5,50.0,53.8,50.0,81.81818181818183,watch — approaching pivot,unknown,1.0,57.9,B
30,THERMAX.NS,2026-07-07,4709.0,4856.1081136067705,4728.587551540799,4608.492080078125,3626.243831380208,3505.520887451172,4814.074135198245,2731.5439342301706,5256.332008959298,True,True,True,True,True,True,True,False,False,39.1275244370396,noise,57.92232950452476,False,True,False,False,,Electrical Equipment,Heavy Electrical Equipment,87.68638768638769,True,True,53046.26,155.14,329459.0,0.2925,41.3,50.0,85.2,50.0,70.45454545454545,watch — approaching pivot,unknown,1.0,57.9,B
31,SHEETAL.NS,2026-07-06,291.75,294.93333435058594,293.0458340115017,285.0040005493164,232.8936669921875,209.5905397796631,294.05193882230435,113.56052623811316,335.0,True,True,True,True,True,True,True,False,False,141.74912412362576,noise,67.66917293233082,False,False,False,False,,Agricultural Food & other Products,Other Agricultural Products,98.12409812409813,True,True,67.53,0.08,13031.0,0.1137,65.6,50.0,77.2,50.0,38.63636363636363,watch — approaching pivot,unknown,1.0,57.6,B
32,OMAXAUTO.NS,2026-07-07,229.33999633789062,227.14749908447266,228.3705537584093,218.1862759399414,141.07441802978516,134.96232482910156,228.5611525956108,83.13207188778173,263.3999938964844,True,True,True,True,True,True,True,True,False,173.56813131538811,dry,11.24135705043609,False,False,False,False,,Auto Components,Auto Components & Equipments,98.65319865319864,True,True,491.73,4.56,198964.0,0.928,66.9,50.0,53.8,50.0,65.9090909090909,watch — approaching pivot,unknown,1.0,57.4,B
33,APARINDS.NS,2026-07-07,14154.0,15463.833333333334,14429.972222222223,13900.49,10897.36,10359.38,14946.200120573407,6801.0,17157.0,True,True,True,True,True,True,True,False,False,59.59870226157227,noise,89.6472983741129,False,False,False,False,,Electrical Equipment,Other Electrical Equipment,92.5925925925926,True,True,56862.61,204.32,144355.0,0.3593,52.7,50.0,63.0,57.2,70.45454545454545,actionable,unknown,1.0,57.4,B
