rank,symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,rs_score,vcp_score,volume_score,newhigh_score,entry_score,group_score,entry_status,market_state,market_multiplier,minervini_score,grade
1,RISHABH.NS,2026-07-09,652.5999755859375,611.3124949137369,564.1611116197374,545.2640002441407,453.45333272298177,440.3617497253418,624.8988004910634,272.29998779296875,692.7999877929688,True,True,True,True,True,True,True,True,False,128.58142752572243,ppv,149.44356005657667,False,True,True,False,,Electrical Equipment,Other Electrical Equipment,97.6453628063431,True,True,2523.08,16.44,251969.0,0.6517,74.5,50.0,88.8,88.4,100.0,79.54545454545455,actionable,unknown,1.0,78.4,A
2,BAJAJCON.NS,2026-07-09,643.5499877929688,606.933339436849,586.4000023735894,566.7150012207031,416.7713348388672,378.83165100097654,615.5220186734567,220.10000610351562,648.7000122070312,True,True,True,True,True,True,True,True,False,176.0358537693051,ppv,106.81852167877346,False,False,True,False,,Personal Products,Personal Care,98.89476213358962,True,True,8405.94,85.11,1322580.0,1.0126,67.4,40.0,96.2,98.4,88.4,93.18181818181817,actionable,unknown,1.0,77.8,A
3,ATHERENERG.NS,2026-07-09,1218.4000244140625,1108.3083394368489,1022.7388899061415,995.9619995117188,815.5456656901042,775.2994992065429,1134.6016971919396,318.6000061035156,1242.9000244140625,True,True,True,True,True,True,True,True,False,269.43604290819763,green,126.02117161239859,False,False,True,False,,Automobiles,2/3 Wheelers,99.37530033637674,True,True,46702.49,608.81,4996781.0,1.3036,78.5,50.0,90.2,96.1,100.0,50.0,actionable,unknown,1.0,76.0,A
4,BLISSGVS.NS,2026-07-09,524.1500244140625,508.290771484375,449.530510796441,401.1704260253906,267.2742344156901,239.15308280944825,507.68564719355567,117.5147500933485,551.9194964802983,True,True,True,True,True,True,True,True,False,223.98455770920492,noise,21.684590593394077,False,True,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,99.18308505526188,True,True,5568.78,108.42,2068406.0,1.9468,68.1,50.0,90.2,83.9,97.7,61.36363636363637,actionable,unknown,1.0,73.8,A
5,ASTRAMICRO.NS,2026-07-09,1833.0999755859375,1772.1833190917969,1542.7972140842014,1423.7299853515624,1116.8249959309896,1098.8104968261719,1779.757114649873,851.0,1871.0,True,True,True,True,True,True,True,True,False,76.67992797619412,noise,32.03555971147933,False,True,False,False,,Aerospace & Defense,Aerospace & Defense,94.8582412301778,True,True,17404.37,177.98,970898.0,1.0226,68.0,50.0,90.2,89.9,100.0,54.54545454545454,actionable,unknown,1.0,73.8,A
6,RML.NS,2026-07-09,1277.300048828125,1169.6958516438801,1021.8166724310981,983.4420043945313,841.3920011393229,835.7397512817383,1198.3191982666558,608.5,1323.9000244140625,True,True,True,True,True,True,True,True,False,44.6698020697587,ppv,65.21478571518017,False,False,True,False,,Auto Components,Auto Components & Equipments,89.38010571840461,True,True,3530.09,11.46,89719.0,0.3246,55.2,50.0,88.8,93.0,100.0,70.45454545454545,actionable,unknown,1.0,73.8,A
7,UFBL.NS,2026-07-09,727.0,688.1999969482422,592.2347225613064,527.8520001220703,327.50553334554036,298.51814994812014,689.5361406084362,172.33999633789062,735.0,True,True,True,True,True,True,True,True,False,130.50095563369112,dry,11.304891911354146,False,False,False,False,,Leisure Services,Restaurants,97.74147044690052,True,True,2841.58,29.47,405329.0,1.037,74.7,50.0,53.8,91.8,92.4,89.77272727272727,actionable,unknown,1.0,73.0,A
8,PAISALO.NS,2026-07-09,72.4000015258789,66.36166636149089,59.08666631910536,55.95319961547852,42.89059981028239,41.508199796676635,68.2974482501879,29.783536082586807,74.9000015258789,True,True,True,True,True,True,True,True,False,138.6123609889591,ppv,134.44930055961314,False,False,True,False,,Finance,Non Banking Financial Company (NBFC),98.0297933685728,True,True,6584.94,106.16,14663040.0,1.6122,75.4,50.0,88.8,93.3,89.9,47.72727272727273,actionable,unknown,1.0,72.9,A
9,HONASA.NS,2026-07-09,471.6000061035156,452.2000045776367,421.87083519829645,401.6730017089844,329.6716676839193,318.8110008239746,457.73677201739974,248.39999389648438,478.79998779296875,True,True,True,True,True,True,True,True,False,59.32432638632286,noise,47.65946651425192,False,False,True,False,,Personal Products,Personal Care,92.69581931763575,True,True,15375.3,129.46,2745152.0,0.842,63.0,50.0,52.7,97.0,100.0,93.18181818181817,actionable,unknown,1.0,72.7,A
10,NINSYS.NS,2026-07-09,914.1500244140625,844.9124959309896,749.5527750651041,697.1909985351563,481.55866658528646,468.9854997253418,862.2404944780164,281.04998779296875,935.0,True,True,True,True,True,True,True,True,False,102.94150286178927,noise,43.01558424478881,False,True,True,False,,IT - Software,Computers - Software & Consulting,96.58817876021143,True,True,1698.13,0.71,7719.0,0.0416,72.0,50.0,58.8,95.5,100.0,72.72727272727273,actionable,unknown,1.0,72.4,A
