symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
BHARTIARTL.NS,2026-07-09,1931.0999755859375,1883.2416585286458,1856.749993218316,1854.1799951171874,1924.99,1950.8510021972656,1897.163159123839,1740.5,2174.5,False,False,False,False,True,False,True,True,False,-4.260597616472072,ppv,132.05784462555738,False,False,False,False,,Telecom - Services,Telecom - Cellular & Fixed line services,57.039884670831334,False,False
BAJAJFINSV.NS,2026-07-09,1895.0,1824.8310648600261,1772.070048014323,1771.5115185546874,1873.68421875,1922.1416040039062,1845.057611206351,1595.6384533474438,2193.128599829014,False,False,False,False,True,False,True,True,False,-5.471643149217509,ppv,195.1724009498287,False,False,False,False,,Finance,Holding Company,55.694377703027385,False,False
ADANIENT.NS,2026-07-09,3083.60009765625,3093.4750162760415,2990.7254231770835,2870.3597021484375,2381.049090169271,2403.3816442871093,3094.6698396030606,1752.216581309528,3245.0,True,False,True,True,True,True,True,False,False,19.75384446178483,ppv,107.59172221358932,False,False,False,False,,Metals & Minerals Trading,Trading - Minerals,78.42383469485824,True,False
SUNPHARMA.NS,2026-07-09,1938.699951171875,1881.5203959147136,1835.6590440538193,1839.0804907226564,1759.7173649088543,1740.724346923828,1889.5151685657017,1533.9890668325556,1952.0,True,True,True,True,True,False,True,True,False,16.459747114946886,ppv,185.34876202296127,False,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,75.8769822200865,True,False
DIXON.NS,2026-07-09,13477.0,12464.916666666666,12005.25,11722.15,11442.873333333333,12587.1,12750.557159994121,9600.0,18471.0,True,False,False,False,True,True,False,True,False,-12.635276400983974,ppv,138.35856960560915,False,False,False,False,,Consumer Durables,Consumer Electronics,46.564151850072086,False,False
KALYANKJIL.NS,2026-07-09,443.0,383.3916651407878,368.24166700575086,371.8189990234375,410.5680002848307,431.2187498474121,387.73096099370616,327.04998779296875,615.8977245777407,True,False,False,False,True,True,False,True,False,-23.92837135545959,ppv,967.9352146993011,True,False,False,False,,Consumer Durables,"Gems, Jewellery And Watches",31.667467563671316,False,False
LGEINDIA.NS,2026-07-09,,,,,,,,,,False,False,False,False,False,False,False,False,False,,ppv,110.81979244441429,False,True,False,False,,Consumer Durables,Household Appliances,,False,False
APOLLOHOSP.NS,2026-07-09,8845.5,8718.916666666666,8478.611111111111,8330.12,7672.945764973958,7656.60935546875,8746.680744045523,6687.621668232306,8950.0,True,True,True,True,True,True,True,True,False,16.44669995291501,ppv,147.1087580278826,False,False,False,False,,Healthcare Services,Hospital,75.78087457952907,True,True
SWIGGY.NS,2026-07-09,280.95001220703125,250.42083358764648,252.31388812594943,256.0350003051758,303.3723322550456,331.17974937438964,257.5571818001802,235.75,474.0,False,False,False,False,True,False,False,True,False,-25.408199453138604,ppv,455.7030240231381,True,False,False,False,,Retailing,E-Retail/ E-Commerce,29.024507448342142,False,False
LTF.NS,2026-07-09,321.1000061035156,313.7083333333333,289.1513917711046,287.6732507324219,285.40192372639973,282.0780068969727,316.4435756042614,192.4188983922586,338.6000061035156,True,True,True,True,True,True,True,True,False,56.137063043325355,ppv,166.34870773308793,False,False,False,False,,Finance,Non Banking Financial Company (NBFC),92.40749639596348,True,True
