symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,price_band
MOTHERSON.NS,2026-07-09,142.8000030517578,146.68500010172525,144.04861153496637,139.3320002746582,126.09675104777018,121.40155258178712,144.85722024885337,89.42248454216111,155.25,True,True,True,True,True,True,True,False,False,38.40810742439369,noise,43.711156699642885,False,True,False,False,,Auto Components,Auto Components & Equipments,86.96488696488697,True,True,150796.7,328.09,22912852.0,0.2176,—
TITAN.NS,2026-07-10,4584.39990234375,4439.581705729167,4268.99469672309,4250.410981445312,4175.079601236979,4050.6630285644533,4488.299379935385,3292.2971645749917,4679.7998046875,True,True,True,True,True,True,True,True,False,33.654213879318526,noise,56.64576944425581,False,True,False,False,,Consumer Durables,"Gems, Jewellery And Watches",84.84848484848484,True,True,406657.02,502.6,1096318.0,0.1236,—
BAJAJ-AUTO.NS,2026-07-09,10155.0,9894.291666666666,10135.02650282118,10152.170546875,9578.6682421875,9386.297602539062,10003.029590471873,7749.439654454236,10750.0,True,True,True,True,True,True,True,True,False,21.674413249447213,noise,52.231602668496976,False,True,False,False,,Automobiles,2/3 Wheelers,78.98027898027898,True,True,283628.37,377.19,371395.0,0.133,—
CHENNPETRO.NS,2026-07-10,1180.699951171875,1127.2666625976562,1127.0472191704644,1102.277999267578,981.1355879720052,953.6455834960938,1131.347289623469,615.9702998720279,1249.0,True,True,True,True,True,True,True,True,False,63.317782987961,ppv,205.54089335370782,False,False,False,False,,Petroleum Products,Refineries & Marketing,93.26599326599326,True,True,17581.97,178.58,1512466.0,1.0157,—
ABCAPITAL.NS,2026-07-09,397.3500061035156,394.93749745686847,372.136109246148,366.99999938964845,349.92199951171875,341.4559996032715,394.2700832782383,243.0,410.70001220703125,True,True,True,True,True,True,True,True,False,43.83710628181561,noise,66.54528733228217,False,True,False,False,,Finance,Investment Company,88.6964886964887,True,True,111703.39,176.61,4325444.0,0.1581,—
IDEA.NS,2026-07-10,14.1899995803833,14.206666787465414,14.363055600060356,13.771200046539306,11.559133389790853,11.020400037765503,14.182220263429338,6.119999885559082,15.34000015258789,True,True,True,True,True,True,True,True,False,94.65020102381976,noise,51.20642803249681,False,False,False,False,,Telecom - Services,Telecom - Cellular & Fixed line services,96.1038961038961,True,True,153738.76,717.55,505671946.0,0.4667,—
INDUSINDBK.NS,2026-07-09,1015.1500244140625,958.7416687011719,929.2943996853298,924.11091796875,890.9075687662761,864.8418960571289,977.0440078806624,709.4508644993872,1038.0,True,True,True,True,True,True,True,True,False,18.999853398566803,noise,93.09123728716409,False,True,False,False,,Banks,Private Sector Bank,77.2967772967773,True,True,79144.3,236.55,2328731.0,0.2989,—
ADANIPORTS.NS,2026-07-10,1828.0999755859375,1825.1749776204426,1813.0477939181858,1795.0766796875,1578.6627880859376,1546.291221923828,1825.0892917091378,1285.0840970824604,1891.0999755859375,True,True,True,True,True,True,True,True,False,26.738306610530714,noise,60.71168044404857,False,False,False,False,,Transport Infrastructure,Port & Port services,81.67388167388168,True,True,421186.76,494.38,2704355.0,0.1174,—
AUROPHARMA.NS,2026-07-09,1587.4000244140625,1568.6499837239583,1493.4305487738716,1488.6579956054688,1322.5966625976562,1277.2864984130858,1566.9302585633986,1016.0999755859375,1636.800048828125,True,True,True,True,True,True,True,True,False,33.74956827542823,noise,59.08263761963637,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,84.94468494468495,True,True,90029.38,213.68,1365622.0,0.2373,—
FEDERALBNK.NS,2026-07-09,327.75,327.77915954589844,312.26111094156903,305.53399963378905,285.6016676839193,270.43485084533694,327.4769865411406,183.99616636888095,334.29998779296875,True,True,True,True,True,True,True,True,False,53.32902077949482,noise,30.25392783654396,False,False,False,False,,Banks,Private Sector Bank,91.43819143819144,True,True,81360.89,378.27,11468006.0,0.4649,—
MAHABANK.NS,2026-07-10,84.25,87.50333340962727,84.59445889790852,83.05649597167968,70.83442660013834,67.19584367752076,85.56721728530903,50.17055988911408,94.5,True,True,True,True,True,True,True,False,False,52.8518459178444,ppv,399.74481960022996,False,False,False,False,,Banks,Public Sector Bank,91.29389129389129,True,True,64801.35,175.34,20811986.0,0.2706,—
LUPIN.NS,2026-07-09,2503.300048828125,2425.0083618164062,2329.5388997395835,2324.3960009765624,2254.378662109375,2187.1019995117185,2443.2850872798467,1836.800048828125,2526.89990234375,True,True,True,True,True,True,True,True,False,27.305647210048,noise,53.19136338499004,False,True,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,81.96248196248196,True,True,114139.55,259.18,1038242.0,0.2271,—
ADANIENSOL.NS,2026-07-10,1654.0,1570.1916910807292,1526.8250088161892,1476.6680053710938,1180.3356677246093,1123.9235012817383,1598.4470687594924,744.9000244140625,1712.0,True,True,True,True,True,True,True,True,False,87.68794326241134,noise,49.852851886217394,False,True,False,False,,Power,Power Distribution,95.62289562289563,True,True,198692.15,555.86,3360676.0,0.2798,—
