rank,symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,price_band,rs_score,vcp_score,volume_score,newhigh_score,entry_score,group_score,entry_status,market_state,market_multiplier,minervini_score,grade
1,RISHABH.NS,2026-07-10,662.0999755859375,617.7333272298177,568.1861106024849,549.0679998779297,455.06666585286456,441.5697496032715,631.6626505083132,272.29998779296875,692.7999877929688,True,True,True,True,True,True,True,True,False,132.51974559646618,ppv,182.58983253634707,False,False,True,False,,Electrical Equipment,Other Electrical Equipment,97.7873977873978,True,True,2559.81,17.28,260969.0,0.675,—,74.8,50.0,90.0,91.1,100.0,81.81818181818183,actionable,unknown,1.0,79.4,A
2,AZAD.NS,2026-07-10,2479.5,2171.5000203450522,2124.0694546169707,2122.082009277344,1801.4473388671875,1763.7515032958984,2259.567335029284,1360.0,2520.0,True,True,True,True,True,True,True,True,False,53.09335869204175,ppv,175.07569840386444,False,False,True,False,,Electrical Equipment,Heavy Electrical Equipment,91.34199134199135,True,True,16013.04,143.17,577434.0,0.8941,—,59.8,50.0,87.5,96.8,100.0,81.81818181818183,actionable,unknown,1.0,76.6,A
3,AETHER.NS,2026-07-10,1500.800048828125,1375.125,1221.2999945746528,1204.027998046875,1071.8976721191407,1000.883254699707,1391.6326074546407,726.4500122070312,1538.5,True,True,True,True,True,True,True,True,False,91.8200411550435,ppv,153.59792830993837,False,False,True,False,,Chemicals & Petrochemicals,Specialty Chemicals,95.86339586339587,True,True,19917.5,61.38,408982.0,0.3082,—,70.3,50.0,92.5,95.1,100.0,52.27272727272727,actionable,unknown,1.0,75.0,A
4,PAISALO.NS,2026-07-10,73.23999786376953,67.5308329264323,59.734444088406036,56.41919960021973,43.13099979400635,41.67964978218079,69.19609363447546,29.783536082586807,74.9000015258789,True,True,True,True,True,True,True,True,False,140.82661188533677,green,113.6746839971556,False,False,True,False,,Finance,Non Banking Financial Company (NBFC),98.26839826839827,True,True,6661.34,108.72,14844579.0,1.6321,—,76.0,50.0,86.5,95.6,100.0,50.0,actionable,unknown,1.0,74.7,A
5,SAILIFE.NS,2026-07-10,1265.0,1234.4000244140625,1197.4972296820747,1171.4780029296876,1015.8239982096354,982.2239987182617,1233.298934556983,776.25,1287.0,True,True,True,True,True,True,True,True,False,60.83916083916083,ppv,141.96613360160282,False,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,92.88119288119289,True,True,26854.18,78.26,618687.0,0.2914,—,63.4,50.0,87.1,96.6,94.0,70.45454545454545,actionable,unknown,1.0,74.6,A
6,AIMTRON.NS,2026-07-09,1350.449951171875,1275.7916768391926,1239.1347351074219,1201.1750048828126,957.9806681315105,920.2924996948242,1285.2044145580815,632.5999755859375,1416.0,True,True,True,True,True,True,True,True,False,102.4966114461277,ppv,141.6751229412224,False,False,True,False,,Industrial Manufacturing,Industrial Products,96.53679653679653,True,True,1113.17,2.94,53900.0,0.264,—,71.9,50.0,81.5,90.7,100.0,63.63636363636363,actionable,unknown,1.0,74.5,A
7,ACCENTMIC.NS,2026-07-10,513.4500122070312,490.5166651407878,467.30138736301,461.1810003662109,390.7116678873698,362.82175079345706,493.7403202470378,238.0,519.75,True,True,True,True,True,True,True,True,False,91.11566539761557,ppv,143.6642453591606,False,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,95.81529581529583,True,True,1142.23,2.86,55750.0,0.2506,—,60.2,50.0,79.2,97.6,100.0,70.45454545454545,actionable,unknown,1.0,73.6,A
8,KODYTECH.NS,2026-07-09,1125.199951171875,1083.0083312988281,980.8055521647135,929.7269982910157,860.4099991861979,818.8602496337891,1090.9397462717375,556.0499877929688,1160.0,True,True,True,True,True,True,True,True,False,46.22481496710527,ppv,1865.3350515463917,True,False,False,False,,IT - Software,Computers - Software & Consulting,89.51418951418951,True,True,4525.38,4.43,12484.0,0.0979,—,55.5,50.0,85.0,88.0,100.0,77.27272727272727,actionable,unknown,1.0,73.6,A
9,NYKAA.NS,2026-07-10,330.1000061035156,312.44583384195965,287.52221934000653,282.6949981689453,264.5601328531901,262.35549949645997,315.4295877963822,200.13999938964844,330.95001220703125,True,True,True,True,True,True,True,True,False,62.93993389138368,ppv,139.46539330094512,False,False,True,False,,Retailing,E-Retail/ E-Commerce,93.16979316979317,True,True,94536.94,221.35,6705511.0,0.2341,—,64.1,50.0,64.4,99.5,100.0,79.54545454545455,actionable,unknown,1.0,73.3,A
10,NINSYS.NS,2026-07-09,914.1500244140625,844.9124959309896,749.5527750651041,697.1909985351563,481.55866658528646,468.9854997253418,862.2404944780164,281.04998779296875,935.0,True,True,True,True,True,True,True,True,False,102.94150286178927,noise,43.01558424478881,False,True,True,False,,IT - Software,Computers - Software & Consulting,96.58489658489658,True,True,1640.08,0.68,7679.0,0.0413,—,72.0,50.0,60.0,95.5,100.0,77.27272727272727,actionable,unknown,1.0,73.3,A
